SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 25/09/2025 HORA: 10:41:29;
PERÍODO DE: 01/05/2021 A 31/05/2021;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
905228;VENDA EQUIPAMENTOS IND. MASSEY;1610000,00;0;-2941245,23;4551245,23;
903125;VENDA MASSEY SHOP;93132,54;0;-14816,60;107949,14;
3.01.01.02;RECEITAS COM VENDAS DE SERVIÇOS;298411,14;0;-142205,02;440616,16;
903116;RECEITA DE COMISSOES C/ VENDAS DIRETA;4839,45;0;-2192,79;7032,24;
903114;RECEITA DE SERVICOS;7900,00;0;-93187,50;101087,50;
903243;VENDA DE SERVICOS EM GARANTIA;285671,69;0;-46824,73;332496,42;
3.01.02;DEDUCOES DAS RECEITAS DE VENDAS;-2100415,82;3361275,82;-1252507,49;-4209184,15;
3.01.02.01;IMPOSTOS S/ VENDAS E SERVICOS;-1475966,60;1869220,36;-1252507,49;-2092679,47;
903129;COFINS S/FATURAMENTO;-223632,52;47194,14;-322,01;-270504,65;
908846;DESPESA COM ICMS-ST;-23408,55;3140,56;0;-26549,11;
903127;DESPESA COM ISS;-509,58;2899,25;0;-3408,83;
903126;DESPESAS COM ICMS;-1179864,33;886204,15;-332578,96;-1733489,52;
911478;(-)ICMS BENEF.FISCAL COM 160/2017 ? RBC;1593312,19;0;-919535,28;2512847,47;
911477;ICMS S/ VENDAS ? LC 160/2017 ? RBC;-1593312,19;919535,28;0;-2512847,47;
903128;PIS S/ FATURAMENTO;-48551,62;10246,98;-71,24;-58727,36;
3.01.02.02;DEVOLUCOES DE VENDAS;-624449,22;1492055,46;0;-2116504,68;
903132;DEVOLUÇÕES DE VENDA AGCO;-251609,30;1189966,10;0;-1441575,40;
903130;DEVOLUCOES DE VENDAS;-372839,92;302089,36;0;-674929,28;
3.01.99;RECEITA OPERACIONAL LIQUIDA;21966078,06;3361275,82;-15002123,11;33606925,35;
3.02;CUSTOS DAS VENDAS;-17895618,69;10897647,35;-1181609,51;-27611656,53;
3.02.01;CUSTOS DAS VENDAS;-17893177,50;10889492,99;-1174189,75;-27608480,74;
903150;CMV COLHEITADEIRAS NOVAS MASSEY;-6295355,17;2271260,16;0;-8566615,33;
905227;CMV EQUIPAMENTOS IND. MASSEY;-1355273,61;2250441,15;0;-3605714,76;
905608;CMV GARANTIAS AGCO;-122569,22;18154,98;0;-140724,20;
905218;CMV IMPLEMENTOS NOVOS;-1526658,31;1919386,13;-233866,89;-3212177,55;
903152;CMV LUBRIFICANTES;-68138,16;10733,35;0;-78871,51;
909492;CMV LUBRIFICANTES AGCO;-375679,36;85038,55;-412,91;-460305,00;
903153;CMV MAQUINAS USADAS;-1330000,00;1106710,42;0;-2436710,42;
903158;CMV MASSEY SHOP;-50612,64;7520,60;0;-58133,24;
903149;CMV PEÇAS MASSEY;-1722095,07;402916,34;-3251,59;-2121759,82;
903151;CMV PEÇAS OUTRAS;-797549,27;177314,86;-3866,54;-970997,59;
903147;CMV TRATORES NOVOS MASSEY;-4249246,69;2640016,45;-932791,82;-5956471,32;
3.02.02;DEVOLUÇÕES DE COMPRAS;-2441,19;8154,36;-7419,76;-3175,79;
903146;(-) DEVOLUCOES DE COMPRAS PECAS;-2441,19;8154,36;-7419,76;-3175,79;
3.04;DESPESAS OPERACIONAIS;-3593093,17;1012064,64;-1471,26;-4603686,55;
3.04.01;DESPESAS ADMINISTRATIVAS;-1197827,90;325676,98;0;-1523504,88;
903192;ALUGUEIS E ARRENDAMENTOS;-190436,00;47489,00;0;-237925,00;
903200;ASSINATURAS, JORNAIS E REVISTAS;-1367,66;0;0;-1367,66;
903204;ASSOCIACAO UNIMASSEY;-20683,00;0;0;-20683,00;
903197;ASSOCIACOES DE CLASSES E OUTRAS;-1441,52;329,84;0;-1771,36;
903186;COMBUSTIVEIS;-1389,70;0;0;-1389,70;
903217;CONFRATERNIZACAO;-4790,00;0;0;-4790,00;
903263;CONSUMO DO TORNO;0;1200,00;0;-1200,00;
903191;CORREIOS E MALOTES;-1222,41;100,00;0;-1322,41;
903195;CURSOS DE APERFEICOAMENTO;-4016,00;3080,00;0;-7096,00;
909466;DESPESA C/ COMISSAOES DE TERCEIROS;-48874,16;21369,11;0;-70243,27;
